Ажилчдын тооны бүлэг,Аймаг сум,2024-IV
Бүгд,Баянмөнх,24
Бүгд,Дархан,35
Бүгд,Дэлгэрхаан,37
Бүгд,Жаргалтхаан,36
Бүгд,Цэнхэрмандал,40
Бүгд,Өмнөдэлгэр,78
Бүгд,Батширээт,47
Бүгд,Биндэр,60
Бүгд,Баян-Адарга,40
Бүгд,Дадал,47
Бүгд,Норовлин,34
Бүгд,Батноров,73
Бүгд,Баян-Овоо,26
Бүгд,Мөрөн,32
Бүгд,Хэрлэн,570
Бүгд,Бор-Өндөр,94
Бүгд,Улаанбаатар,"75,154"
Бүгд,Улаанбаатар,"75,154"
Бүгд,Хан-Уул,"12,045"
Бүгд,Багануур,495
Бүгд,Баянзүрх,"17,534"
Бүгд,Налайх,747
Бүгд,Баянгол,"14,683"
Бүгд,Сүхбаатар,"13,060"
Бүгд,Чингэлтэй,"7,694"
Бүгд,Багахангай,101
Бүгд,Сонгинохайрхан,"8,795"
